小鹏飞| 大豪科技|董秘你好，请问在你退休或者公司退市之前大豪还会提交重组申请恢复报告吗?|4小时前|感谢关注。|4小时前
红星北冰洋| 大豪科技|董秘你好，作为红星二锅头的粉丝，2020年年底以来一直关注重组的进展，自从中止后，将近6个月没有恢复审核，你们的工作做的好不好，相信上级管理部门有评价，但广大股东也有一杆秤，即使将来有一天，红星成功注入了大豪，也有点担心现在的运营团队可能没有足够的能力把他做大做强。|2022年02月18日 15:50|感谢关注|2022年02月18日 16:01
红星北冰洋| 大豪科技|2021-07-29日，大豪科技收到了中国证监会行政许可项目审查一次反馈意见通知书，根据规定要求在 30 个工作日内向中国证监会行政许可受理部门提交书面回复意见。中止事件的发生，让这件1个月以内要做好的事，愣是半年了还没有动静，请董秘给个理由，为何这么慢？|2022年02月18日 15:50|尊敬的投资者您好，公司目前在做恢复审核的准备。感谢关注|2022年02月18日 16:00
红星北冰洋| 大豪科技|董秘你好，你用‘感谢关注’四个大字，迅速的回复了广大投资者的关切，公司就这样对待广大散户吗？|2022年02月18日 15:39|感谢关系|2022年02月18日 16:00
知行合一| 大豪科技|董秘你好，请问国企改革在七月就要交卷了，你们有信心吗？|2022年02月18日 11:10|尊敬的投资者您好，公司成立之初就是混合所有制。|2022年02月18日 15:26
大豪董秘真可爱| 大豪科技|你说准备时间无法预计，那么只有一种情况那就是贵司做事没有目标，但凡做一件事都要先定个目标，有了目标自然而然就会有预计完成时间，从这一点可以看出贵司的管理存在严重问题，做为公司的股东深感担忧和焦急，可惜又爱莫能助，能懂我的意思和感受吗？|2022年02月16日 14:23|感谢您的建议。|2022年02月18日 15:25
柏拉图1| 大豪科技|本次重组聘请的律师事务所北京市天元律师事务所因其为其他公司提供的法律服务而被中国证监会立案调查，目前尚未最终结案。意思是要等天元律师事务所与其他公司结案后大豪才能继续审核？|2022年02月17日 11:02|尊敬的投资者您好，请参见之前公司回复。|2022年02月18日 15:24
大豪DMSQJ| 大豪科技|董秘你好，最近网络上很多人都在说此次重组问题很大，可能短时间内不会有进展，甚至有财经博主信誓旦旦地说重组已经失败，请问公司是否涉嫌有消息泄露，麻烦自查一下。|2022年02月16日 12:49|尊敬的投资者您好，公司严格按照相关规则开展信息披露工作。|2022年02月18日 15:24
三生万物V| 大豪科技|董秘好：宁德时代针对近期网络平台相继出现关于宁德时代被美国制裁、被剔除创业板权重指数、与特斯拉“谈崩”等一系列谣言，引发市场误解曲解，影响企业声誉，于2月13日发布消息称已向公安机关正式报案，将对造谣者依法追究法律责任。宁王的董秘这么豪横。大豪科技针对“酒王”有关大豪重组红星失败的谣言，仅回复：“......公司所有公开披露的信息均以上述指定报刊、网站刊登的公告为准。”为啥不能像宁王的董秘那样霸气回怼？|2022年02月16日 15:02|尊敬的投资者您好，感谢您的建议|2022年02月18日 15:22
张7288| 大豪科技|请问董秘，贵公司是否属于国企，还是国资属于大股东？请回复|2022年02月17日 08:55|尊敬的投资者，您好，公司属于国有控股企业，感谢关注。|2022年02月18日 15:21
大豪粉| 大豪科技|您好董秘，关于本次重组中止了6个月公司高层对于中小股东可有什么歉意？|2022年02月17日 10:50|感谢关注。|2022年02月18日 15:20
redbullone| 大豪科技|董秘，你好。请问是不是资产重组已经确定成功？是否会更名？|2021年01月29日 09:03|尊敬的投资者您好，目前重组在顺利推进，但整个重组过程还有不确定性，详见上交所公司公告。董事会还未对公司改名事宜进行讨论，敬请关注公司后续公告，谢谢。|2021年01月29日 09:26
大豪科技小股东| 大豪科技|你好 董秘，贵司重组的进展如何了，感谢告知～|2021年01月29日 08:50|尊敬的投资者，您好，目前重组按计划顺利推进，感谢关注。|2021年01月29日 09:11
亮剑2018168| 大豪科技|您好！最近网上有小道消息，说是贵公司内部消息，说公司最近几天就会宣布重组失败。请问消息是否属实？当前公司重组主要还有哪些阻碍和不确定因素？|2021年01月28日 15:21|尊敬的投资者，您好，公司指定的信息披露媒体为《中国证券报》、《上海证券报》、《证券时报》、《证券日报》及上海证券交易所网站（www.sse.com.cn），公司所有信息均以在上述指定媒体刊登的信息为准。敬请广大投资者关注相关公告，并注意投资风险。|2021年01月28日 15:35
redbullone| 大豪科技|请问董秘，第二次问询，什么时候回复？上交所要求5个交易日。|2021年01月28日 11:49|尊敬的投资者您好，公司在保证真实准确完整的前提下尽快回复，感谢关注。|2021年01月28日 13:45
乾坤123V| 大豪科技|请问：公司酒业务未来3-5年发展规划是怎样的？|2021年01月26日 12:34|感谢您对公司的关注！相关业务发展规划请您持续关注公司公告|2021年01月27日 13:43
亮剑2018168| 大豪科技|您好！对于证监会的问询函公司基本回复完毕，请问公司何时召开股东大会审议重组事宜？马上就要放假了，能在放假之前完成吗？|2021年01月26日 15:39|尊敬的投资者，公司重组事项各项工作需要按规定程序开展，并将按照法律法规的规定履行有关后续审批及信息披露程序，后续进展可关注公司公告。感谢您的关注。|2021年01月27日 13:41
亮剑2018168| 大豪科技|您好 您之前说公司是对芯片公司进行的投资，不是子公司，公司所投资股权比例是多少？后期是否有收购芯片类公司的计划？|2021年01月26日 15:40|公司在兴感半导体公司的持股份比例为24.22%。感谢您的关注。|2021年01月27日 13:41
亮剑2018168| 大豪科技|您好，对于传统行业的缝纫机等产品，公司利润一直在下滑，主要原因是什么呢？对此公司有没有改善措施？|2021年01月26日 15:42|虽然今年公司业绩受宏观经济形势影响同比出现下滑，但是各产品线在各自的细分领域市场占有率仍在进一步提升。同时在3季度，公司业绩同比、环比均现良好的增长态势。公司也在通过产品线多元化布局，持续加强研发投入和市场推广，积极应对宏观环境不断变化带来的影响。感谢您的关注|2021年01月27日 13:40
终结的炽天使| 大豪科技|今天股吧里看见很多股民晒图购买公司产品（喝酒的买红星，不喝酒的买北冰洋）股民素养之高让人欣慰。广大股民用着自己的方式演绎着资本市场服务实体经济，而这却是机构投资者无法达到的效果成功是什么成功是一个人带领一小群人影响着一大群人朝一个方向前进。作为开国国宴用酒的红星现在市值却连国内某酒企零头都不到。公司有感到不甘吗？这种深深的不甘会成为激励鞭策引领我们红星人前进的动力吗我们广大股民公司认可也是红星人吗|2021年01月26日 15:43|谢谢您的鼓励与支持！|2021年01月27日 13:39
亮剑2018168| 大豪科技|您好，公司引入红星 北冰洋 星海 等著名老字号商标后，公司的业务也相对广泛，后面公司的发展思路，战略布局是怎样的？|2021年01月26日 15:43|尊敬的投资者您好，公司一直在科技多元化布局，打造科技与大消费双引擎，感谢关注|2021年01月27日 13:38
终结的炽天使| 大豪科技|红星做为新中国开国国宴用酒，不应辜负这份沉甸甸的荣耀。应不辱使命开发出系列高端国宴用酒品列伴随新中国一起崛起壮大。|2021年01月25日 13:41|尊敬的投资者您好，感谢您的建议|2021年01月25日 14:02
1118zcyyw| 大豪科技|几号出公告|2021年01月25日 10:15|感谢关注，公告烦请关注上交所网站|2021年01月25日 14:01
